Afghanistan,193232,253150,413480,633500,798871,733205,368235,319142,279634,220653,362319,292015,274981,402909,452626,418216,535477,716954,1242906,1382972,1312939,1312939
Algeria,0,0,0,0,0,0,0,0,8,55,1,1,0,3,26,1,1,2,5,10,6,34
Angola,8794084,8410016,7352473,6700267,6312055,5523430,4969705,4524454,4201780,3884445,3812871,4035439,4429795,5063972,5736210,6076182,6146933,5889113,5686167,5414605,5533981,5339605
Argentina,0,0,0,0,0,0,0,0,0,0,0,54,92,105,328,172,231,116,124,125,215,440
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47,29,52,79,141
Azerbaijan,0,0,0,0,0,0,0,0,0,3,4,50,78,72,108,141,242,386,480,505,1054,1526
Bangladesh,8974,7545,21202,12397,33331,31621,45478,66274,31594,35375,63432,69307,80603,121043,126937,68539,103199,101645,99970,98239,96431,94616
Belize,0,0,0,3,7,4,9,19,20,33,72,150,256,540,845,844,1549,1066,1324,1134,1162,1486
Benin,4983668,4781051,4937253,4872597,4876484,4721694,4260585,3917119,3753591,3650774,3703932,3862955,4032019,4183971,4220168,4140781,4026128,3859662,3601326,3371811,3107278,2886309
Bhutan,9,22,2,6,11,15,34,19,15,82,194,436,1057,329,793,1868,1825,2670,3806,6511,5982,5935
Bolivia (Plurinational State of),14930,16506,12654,7239,6195,7510,9315,10994,10906,10048,9680,18659,13344,13210,19799,25742,27296,20206,27568,19768,22330,45647
Botswana,1067,1776,259,808,2933,985,455,2076,8,304,682,2229,2719,2457,1292,4801,1466,1217,1862,3663,7698,19146
Brazil,162016,167113,178650,218813,220913,132022,164589,146599,197679,258095,284024,390024,328858,335694,534516,584183,658276,516739,465651,407200,467114,760760
Burkina Faso,8326915,8122685,7472680,7280725,7093584,7215226,7848131,8132937,8620220,9159529,9242057,9194223,8932652,8386574,7693631,7347269,7363398,7546925,7615906,7513033,7346774,7121621
Burundi,3657985,3708079,3549058,3315862,2794830,2526223,2144520,1916653,1778478,1628919,1560776,1544609,1532448,1694813,1891093,2161939,2307035,2453417,2699483,2777742,2817680,2828604
C?e d?voire,7443146,7398482,7184054,6730934,6229084,5867998,5658630,5955704,6533301,8330987,9963140,9969293,9645843,9176757,8685416,8496241,8692864,9314093,9270252,9068162,8818723,8349017
Cabo Verde,0,0,0,2,423,49,7,26,22,1,7,47,65,35,18,80,68,45,68,76,107,144
Cambodia,19064,43341,140073,272272,202696,124137,218837,240449,168806,260016,368041,353293,426267,214883,191165,437975,388706,403094,464899,349008,388681,669109
Cameroon,6665957,6601170,6246049,6218960,6151314,6126789,5996035,5825479,5667877,5418988,5451139,5688134,5936562,6574374,7031151,7222479,7297108,7231963,6910604,6530590,6421751,6133781
Central African Republic,1826551,1795225,1681948,1654108,1642425,1638585,1669623,1740283,1782614,1802996,1825670,1843530,1869529,1888773,1891580,1889964,1872113,1837290,1767275,1707571,1668386,1661418
Chad,3506428,3433441,3277966,3216108,2961677,2812456,2681805,2584781,2516380,2581469,2680861,2777637,2687611,2521828,2424988,2342105,2232423,2133329,2100279,2066768,2291665,2205617
China,0,0,0,0,0,1,39,53,83,244,1308,4990,9287,16650,29304,35383,21936,27197,28491,25520,21237,8025
Colombia,102418,105996,119761,93827,80963,115550,84841,57024,72346,84176,90130,164564,110555,109966,173191,165418,166899,197464,254224,291432,333024,210720
Comoros,10537,4546,17599,15186,3230,1143,1300,2203,53156,49840,24856,36538,35544,35567,35591,35607,35616,35631,35658,35657,35623,35604
Congo,1280047,1304055,1324386,1321959,1238519,1126282,1068094,1053862,1058288,1020805,987985,951092,923124,946201,1015538,1063802,1100055,1126012,1093188,1071547,1141982,1107615
Costa Rica,189,90,95,70,12,4,0,0,0,6,10,110,262,966,1223,2903,3541,1289,718,1021,1363,1879
Democratic People's Republic of Korea,2357,1819,1869,3698,4603,5033,7022,10535,14407,21850,16760,13520,14632,16611,4795,6913,6728,15827,16538,98852,115615,90582
Democratic Republic of the Congo,30518545,30103686,28830863,27944491,25976981,24224130,23263844,23381296,23984116,24531464,25108174,25886795,26605770,27698851,27977616,27667876,27239636,26379550,25246571,24298635,23541817,22826514
Djibouti,58445,72332,49402,24845,14671,13822,9473,9439,1684,2226,2185,1010,2686,2060,2018,1976,1938,1909,1881,1841,1786,1731
Dominican Republic,378,1019,1592,534,420,851,778,566,613,1232,2088,3202,2115,2365,3478,4535,4950,3046,1983,1685,1315,1524
Ecuador,2175,1934,1803,1653,1275,1191,618,242,368,544,1219,1888,4126,4891,8194,9863,17050,28730,52065,86757,108903,104528
El Salvador,0,0,0,0,0,12,5,6,6,13,7,17,21,33,40,49,67,112,85,117,362,753
Equatorial Guinea,348428,352514,347501,360556,380328,397276,406082,397146,382479,343007,306229,293402,293747,307734,314016,302024,287656,264018,242764,227948,219511,213141
Eritrea,92898,158684,200382,99716,115928,86561,64020,109689,49309,52483,76678,83471,27656,20767,37568,16438,27680,15093,49490,32823,54461,42711
